fraction,seed,strategy,accuracy,macro_f1,balanced_acc
0.1,42,Real Only,0.7585,0.7114,0.7252
0.1,42,Traditional Aug,0.7815,0.7305,0.7416
0.1,42,MixUp,0.5912,0.5617,0.5855
0.1,42,cGAN Aug,0.6428,0.5639,0.5841
0.1,123,Real Only,0.7747,0.7161,0.7324
0.1,123,Traditional Aug,0.7816,0.7299,0.745
0.1,123,MixUp,0.7411,0.695,0.7121
0.1,123,cGAN Aug,0.5157,0.4796,0.5233
0.1,7,Real Only,0.7755,0.72,0.7314
0.1,7,Traditional Aug,0.7627,0.7073,0.7196
0.1,7,MixUp,0.729,0.6731,0.6875
0.1,7,cGAN Aug,0.7758,0.7177,0.7278
0.2,42,Real Only,0.7983,0.7515,0.7651
0.2,42,Traditional Aug,0.7804,0.732,0.7454
0.2,42,MixUp,0.7798,0.7357,0.7559
0.2,42,cGAN Aug,0.8038,0.7512,0.765
0.2,123,Real Only,0.7212,0.6535,0.6698
0.2,123,Traditional Aug,0.7923,0.7409,0.7543
0.2,123,MixUp,0.7925,0.7448,0.7603
0.2,123,cGAN Aug,0.6942,0.6254,0.653
0.2,7,Real Only,0.7975,0.7449,0.7572
0.2,7,Traditional Aug,0.7833,0.7354,0.7504
0.2,7,MixUp,0.7976,0.7486,0.7606
0.2,7,cGAN Aug,0.7249,0.6717,0.6934
0.5,42,Real Only,0.8175,0.7649,0.7748
0.5,42,Traditional Aug,0.6909,0.6496,0.6697
0.5,42,MixUp,0.8318,0.7883,0.7982
0.5,42,cGAN Aug,0.7008,0.6359,0.6555
0.5,123,Real Only,0.6664,0.6489,0.6775
0.5,123,Traditional Aug,0.8032,0.7572,0.7697
0.5,123,MixUp,0.8249,0.7812,0.7932
0.5,123,cGAN Aug,0.8205,0.7737,0.784
0.5,7,Real Only,0.807,0.7581,0.7682
0.5,7,Traditional Aug,0.7382,0.6916,0.7047
0.5,7,MixUp,0.8274,0.7837,0.7946
0.5,7,cGAN Aug,0.7926,0.7504,0.767
1.0,42,Real Only,0.822,0.774,0.7847
1.0,42,Traditional Aug,0.5698,0.5592,0.5916
1.0,42,MixUp,0.8643,0.8215,0.8283
1.0,42,cGAN Aug,0.828,0.7813,0.7906
1.0,123,Real Only,0.811,0.7709,0.7842
1.0,123,Traditional Aug,0.813,0.7664,0.7799
1.0,123,MixUp,0.8304,0.7888,0.8023
1.0,123,cGAN Aug,0.8148,0.7777,0.7887
1.0,7,Real Only,0.8187,0.7733,0.788
1.0,7,Traditional Aug,0.7864,0.7491,0.7648
1.0,7,MixUp,0.8582,0.8169,0.8206
1.0,7,cGAN Aug,0.8308,0.7836,0.7942
